ds,yhat,yhat_lower,yhat_upper
2024-01-21,713.6785211936698,661.317723933234,770.9537649020568
2024-01-28,717.7687888994473,665.3335854239094,773.0057655410969
2024-02-04,541.3751578414165,484.61170092540067,594.3050434466911
2024-02-11,550.1466627081951,495.44966685107977,606.0448760032427
2024-02-18,386.3067624103265,334.352835729691,442.18257164741516
2024-02-25,350.77359209635347,296.20683831789796,405.3574838528224
2024-03-03,340.786445945948,283.49309643508224,393.488700515992
2024-03-10,155.13157308878044,101.86058357746816,207.23845426754454
2024-03-17,551.5423419194036,496.8163494353847,601.820669442996
2024-03-24,577.5046438556187,527.6126411408056,630.817418916119
2024-03-31,710.6511313105216,654.3390874681929,766.5617616570572
2024-04-07,756.8861215156273,702.2972067188709,815.162957630804
2024-04-14,807.2052351312275,757.321502434633,860.9426887910416
2024-04-21,630.610433447738,578.8929445169205,688.0657325930748
2024-04-28,641.8178855490407,592.6489835264589,695.1986961063507
2024-05-05,595.5345143774572,543.1970024325695,650.4291095756316
2024-05-12,437.341673731044,384.45074359211213,492.9963660439909
2024-05-19,308.74587891116107,257.19225561844763,363.3205992110793
2024-05-26,235.60415467975656,182.73157019355574,286.3934487961699
2024-06-02,248.77057554122928,191.25115120988062,304.1802068130754
2024-06-09,312.7962184539161,259.7571094946309,367.78200657719884
2024-06-16,420.94365590769377,365.223375595946,478.0033445028895
2024-06-23,420.01557665387395,368.1879453153149,466.4319440963382
2024-06-30,613.5879677450259,560.6755937966569,668.3228509486462
2024-07-07,707.1376135022049,651.6304408251146,758.0043964069988
2024-07-14,799.2157445293988,746.3230328217736,850.0223928074676
2024-07-21,790.7794844563579,740.2668272166952,844.1659351950263
2024-07-28,904.3913818573069,847.0506610291415,958.8448994729997
2024-08-04,694.745346543949,640.3018055851226,751.0184971846393
2024-08-11,743.0060835721767,690.7440615926869,796.9884280169003
2024-08-18,528.5147013412646,476.375313181734,584.386798096443
2024-08-25,781.4772869110366,731.2116984212513,834.9877948631588
2024-09-01,1104.2797136687789,1054.1234590049883,1160.7794724360072
2024-09-08,768.0353865738888,710.1572249985401,818.2620365083167
2024-09-15,479.4635486494667,426.2381761310646,533.088500577561
2024-09-22,456.31211355359267,403.14473678368023,510.40205787283776
2024-09-29,291.71134601152585,235.30828650729273,346.91809901673304
2024-10-06,221.79831840406183,170.85612520097388,276.0868668316064
2024-10-13,585.3440313593051,532.8633177583798,638.2038809084304
2024-10-20,447.76383744014413,394.70250467570224,499.27509893797753
2024-10-27,319.6977270138084,268.49696219698757,375.5332114202483
2024-11-03,168.33780573113347,117.37110622313818,220.72997700548856
2024-11-10,705.2018710214777,652.0341500514738,756.1957181494314
2024-11-17,650.1564575287815,596.2471935011247,704.8885955119682
2024-11-24,656.946172283159,602.5527428937983,703.7388555120087
2024-12-01,573.6296332259923,520.4246651066054,629.1104301560644
2024-12-08,411.57372677442515,356.82594777326005,464.953774709731
2024-12-15,266.95267881659106,218.13949639745096,323.2247126425968
2024-12-22,252.99785258391609,199.17119563698287,302.69102126105645
2024-12-29,229.8583557630999,176.67174412610322,281.20671534018663
2025-01-05,145.66260877040315,92.53059540688034,199.05523162527652
2025-01-12,527.172678022033,472.7378784203374,582.6943465662905
2025-01-19,833.1829195787407,779.1455888581614,887.9738310939972
2025-01-26,529.0503766830298,471.3048140059256,581.2559673725991
2025-02-02,566.5990049258011,510.2964391315233,621.8002555311684
